UNSPSC Number,UNSPSC Description
26101411,MOTOR LAMINATION
26101414,MOTOR BRUSH CARRIER
26101704,ENGINE MOUNTS
26101711,CONNECTING RODS
26101725,OIL DIP STICKS OR TUBES
26101736,PISTONS
26101747,PUSH RODS
26101765,VIBRATION DAMPERS
26111510,TRANSMISSION SHAFTS
26111520,TRUNNIONS
26111524,GEAR UNITS
26111534,TRANSMISSION HUBS
26111540,PLANETARY SPEED REDUCER
26111601,DIESEL GENERATORS
2611160303,COOLER TOP ASSEMBLY
2611160306,"GEARBOX, ASSEMBLY AND MODULE"
261116031878,HYDRAULIC ACCUMULATORS ASSEMBLY
261116031879,HYDRAULIC CYLINDERS ASSEMBLY
261116031880,HOSE ASSEMBLY SET
261116031883,BLADE BEARING ASSEMBLY
261116031884,TORQUE ARM ASSEMBLY
261116031889,LC  PUMP UNIT
261116031892,BACK UP PANEL ASSEMBLY
261116031898, LUBRICATION UNIT
261116031900,PANEL ASSEMBLY
261116031901,FAN BOX WITH FILTERATION UNIT
261116031902,DEHUMIDIFIER COMPLETE SYSTEM
261116031903,CENTRIFUGAL PUMPS ASSEMBLY
261116031906,DRAIN VALVE ASSY
261116031907,TRANSMISSION HUB FOR ROTORS
26111615,PETROL GENERATOR
26111702,ALKALINE BATTERIES
26111704,BATTERY CHARGERS
26111707,LEAD ACID BATTERIES
26111709,NICKEL CADMIUM BATTERIES
26111711,LITHIUM BATTERIES
26111719,BATTERY TESTERS
26111721,NICKEL METAL HYDRIDE BATTERIES
26111722,BATTERY ADAPTER OR ACCESSORIES
26111803,ROUND BELTS
26111806,TRANSMISSION PULLEYS
26112001,PRESSURE PLATE
26112105,ELECTRICAL BRAKING SYSTEMS
26121517,COPPER WIRE
26121524,INSULATED OR COVERED WIRE
26121538,WIRE ASSEMBLY
26121542,INSTALLATION WIRE
26121543,HEAT RESISTANT WIRE
26121604,SIGNAL CABLE
26121607,FIBER OPTIC CABLE
26121613,INSULATED OR COVERED CABLE
26121624,RIBBON OR FLAT CABLE
26121629,POWER CABLE
26121641,INSTALLATION CABLES
26121704,SPECIALTY WIRING HARNESS
2613161201,EXHAUST OUTLET DUCTS-FLAT
2613161202,EXHAUST OUTLET DUCTS-ROUND
26131803,GENERATOR CONTROL OR PROTECTION PANELS
27111501,KNIFE BLADES
27111503,UTILITY KNIVES
27111506,SHEARS
27111508,SAWS
27111510,STRIPPING TOOLS
